State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10034,0,9905,129,0.0,98.71,1.29,100896618
Andhra Pradesh,2319645,43,2304872,14730,0.0,99.36,0.64,128500364
Arunachal Pradesh,64495,8,64191,296,0.01,99.53,0.46,658019
Assam,724200,1349,716212,6639,0.19,98.9,0.92,290492
Bihar,830506,12,818238,12256,0.0,98.52,1.48,40100376
Chandigarh,91963,22,90776,1165,0.02,98.71,1.27,79502477
Chhattisgarh,1152217,12,1138171,14034,0.0,98.78,1.22,28900667
Dadra and Nagar Haveli and Daman and Diu,11441,0,11437,4,0.0,99.97,0.03,231502578
Delhi,1868550,1518,1840872,26160,0.08,98.52,1.4,773997
Goa,245359,17,241510,3832,0.01,98.43,1.56,3772103
Gujarat,1224157,120,1213095,10942,0.01,99.1,0.89,70400153
Haryana,986996,911,975467,10618,0.09,98.83,1.08,14999397
Himachal Pradesh,284683,55,280494,4134,0.02,98.53,1.45,3436948
Jammu and Kashmir,453941,75,449115,4751,0.02,98.94,1.05,66001
Jharkhand,435178,10,429853,5315,0.0,98.78,1.22,124904071
Karnataka,3946369,1506,3904806,40057,0.04,98.95,1.02,1711947
Kerala,6537361,2466,6466280,68615,0.04,98.91,1.05,91702478
Ladakh,28239,8,28003,228,0.03,99.16,0.81,4184959
Lakshadweep,11402,0,11350,52,0.0,99.54,0.46,11700099
Madhya Pradesh,1041245,40,1030470,10735,0.0,98.97,1.03,7503010
Maharashtra,7875845,646,7727372,147827,0.01,98.11,1.88,399001
Manipur,137196,57,135019,2120,0.04,98.41,1.55,47099270
Meghalaya,93787,4,92190,1593,0.0,98.3,1.7,30501026
Mizoram,226172,589,224891,692,0.26,99.43,0.31,1308967
Nagaland,35487,8,34720,759,0.02,97.84,2.14,38157311
Odisha,1287922,158,1278641,9123,0.01,99.28,0.71,19301096
Puducherry,165777,3,163812,1962,0.0,98.81,1.18,2073074
Punjab,759255,57,741455,17743,0.01,97.66,2.34,34698876
Rajasthan,1283191,103,1273536,9552,0.01,99.25,0.74,1521992
Sikkim,39147,3,38692,452,0.01,98.84,1.15,83697770
Tamil Nadu,3453263,231,3415007,38025,0.01,98.89,1.1,35998752
Telengana,791630,206,787313,4111,0.03,99.45,0.52,69599762
Tripura,100878,0,99956,922,0.0,99.09,0.91,1646050
Uttar Pradesh,2071621,610,2047511,23500,0.03,98.84,1.13,1158040
Uttarakhand,437322,384,429246,7692,0.09,98.15,1.76,85002417
West Bengal,2017806,311,1996295,21200,0.02,98.93,1.05,32199722
